GO,P,FDR,p.L,p.G,g,G,nc,mc,GO.def,child.GOs
GO:0009055,0.000745557,0.016938531,0,1,66,447,133,16950,Any molecular entity that serves as an electron acceptor and electron donor in an electron transport chain. An electron transport chain is a process in which a series of electron carriers operate together to transfer electrons from donors to any of several different terminal electron acceptors to generate a transmembrane electrochemical gradient.,
GO:0051537,1.20E-07,2.22E-05,0,1,2,15,14,364,"Interacting selectively and non-covalently with a 2 iron, 2 sulfur (2Fe-2S) cluster; this cluster consists of two iron atoms, with two inorganic sulfur atoms found between the irons and acting as bridging ligands.",
GO:0048544,8.74E-09,2.83E-06,0,1,12,50,36,1949,"The process, involving the sharing and interaction of the single locus incompatibility haplotypes, involved in the recognition or rejection of the self pollen by cells in the stigma. This process ensures out-breeding in certain plant species.",
GO:0016740,0.000210804,0.007378136,0,1,210,1257,472,70726,"Catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor). Transferase is the systematic name for any enzyme of EC class 2.","GO:0004315,GO:0004659,GO:0016760,GO:0016765,GO:0019205"
GO:0005634,0.000165267,0.006114896,0,1,104,677,206,28630,"A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.",
GO:0030246,0.004493486,0.077587526,0,1,4,26,13,917,"Interacting selectively and non-covalently with any carbohydrate, which includes monosaccharides, oligosaccharides and polysaccharides as well as substances derived from monosaccharides by reduction of the carbonyl group (alditols), by oxidation of one or more hydroxy groups to afford the corresponding aldehydes, ketones, or carboxylic acids, or by replacement of one or more hydroxy group(s) by a hydrogen atom. Cyclitols are generally not regarded as carbohydrates.",
GO:0030259,0.004765216,0.080142268,0,1,1,15,9,511,Covalent attachment of a glycosyl residue to a lipid molecule.,
GO:0044237,0.000590469,0.014427497,0,1,273,1136,597,97611,The chemical reactions and pathways by which individual cells transform chemical substances.,"GO:0006260,GO:0000154,GO:0001510,GO:0006259,GO:0006281,GO:0006310,GO:0006520,GO:0006541,GO:0006779,GO:0009103,GO:0009247,GO:0030244,GO:0030259,GO:0033014"
GO:0016209,0.001806632,0.03440571,0,1,13,140,49,5238,"Inhibition of the reactions brought about by dioxygen (O2) or peroxides. Usually the antioxidant is effective because it can itself be more easily oxidized than the substance protected. The term is often applied to components that can trap free radicals, thereby breaking the chain reaction that normally leads to extensive biological damage.",
GO:0004315,0.00045789,0.012353489,1.00E-04,1,4,16,14,786,Catalysis of the reaction: acyl-[acyl-carrier protein] + malonyl-[acyl-carrier protein] = 3-oxoacyl-[acyl-carrier protein] + CO2 + [acyl-carrier protein].,
